Dang tai model YOLOv8l-pose ...
=== Train/climb: 379 video ===
  [279/379] OK 15_14.mp4 -> 173 frame, 27 chuoi
  [280/379] OK 15_2.mp4 -> 192 frame, 31 chuoi
  [281/379] OK 15_3.mp4 -> 230 frame, 39 chuoi
  [282/379] OK 15_4.mp4 -> 216 frame, 36 chuoi
  [283/379] OK 15_5.mp4 -> 190 frame, 31 chuoi
  [284/379] OK 15_6.mp4 -> 226 frame, 38 chuoi
  [285/379] OK 15_7.mp4 -> 249 frame, 42 chuoi
  [286/379] OK 15_8.mp4 -> 153 frame, 23 chuoi
  [287/379] OK 15_9.mp4 -> 220 frame, 37 chuoi
  [288/379] OK 16_2.mp4 -> 80 frame, 9 chuoi
  [289/379] OK 16_4.mp4 -> 109 frame, 14 chuoi
  [290/379] OK 17_1.mp4 -> 215 frame, 36 chuoi
  [291/379] OK 17_3.mp4 -> 224 frame, 37 chuoi
  [292/379] OK 17_5.mp4 -> 192 frame, 31 chuoi
  [293/379] OK 18_1.mp4 -> 124 frame, 17 chuoi
  [294/379] OK 26_1.MP4 -> 211 frame, 35 chuoi
  [295/379] OK 26_2.MP4 -> 194 frame, 31 chuoi
  [296/379] OK 26_3.MP4 -> 148 frame, 22 chuoi
  [297/379] BO QUA 26_4.MP4 (chi co 6 frame co pose < 40)
  [298/379] BO QUA 26_5.MP4 (chi co 2 frame co pose < 40)
  [299/379] BO QUA 26_6.MP4 (chi co 7 frame co pose < 40)
  [300/379] OK 29_1.MP4 -> 44 frame, 1 chuoi
  [301/379] OK 29_2.MP4 -> 40 frame, 1 chuoi
  [302/379] BO QUA 29_7.mp4 (chi co 0 frame co pose < 40)
  [303/379] OK 33_1.mp4 -> 51 frame, 3 chuoi
  [304/379] OK 33_2.mp4 -> 55 frame, 4 chuoi
  [305/379] OK 33_3.mp4 -> 42 frame, 1 chuoi
  [306/379] OK 33_4.mp4 -> 45 frame, 2 chuoi
  [307/379] OK 36_1.mp4 -> 110 frame, 15 chuoi
  [308/379] OK 36_2.mp4 -> 76 frame, 8 chuoi
  [309/379] OK 36_3.mp4 -> 76 frame, 8 chuoi
  [310/379] OK 36_4.mp4 -> 92 frame, 11 chuoi
  [311/379] OK 37_1.mp4 -> 73 frame, 7 chuoi
  [312/379] OK 37_2.mp4 -> 80 frame, 9 chuoi
  [313/379] OK 37_3.mp4 -> 80 frame, 9 chuoi
  [314/379] OK 37_4.mp4 -> 83 frame, 9 chuoi
  [315/379] OK 37_5.mp4 -> 68 frame, 6 chuoi
  [316/379] OK 39_1.mp4 -> 98 frame, 12 chuoi
  [317/379] OK 39_2.mp4 -> 83 frame, 9 chuoi
  [318/379] OK 40_1.mp4 -> 46 frame, 2 chuoi
  [319/379] OK 40_2.mp4 -> 106 frame, 14 chuoi
  [320/379] OK 41_1.mp4 -> 53 frame, 3 chuoi
  [321/379] OK 41_2.mp4 -> 66 frame, 6 chuoi
  [322/379] OK 41_3.mp4 -> 53 frame, 3 chuoi
  [323/379] OK 41_4.mp4 -> 83 frame, 9 chuoi
  [324/379] OK 41_5.mp4 -> 60 frame, 5 chuoi
  [325/379] OK 41_6.mp4 -> 63 frame, 5 chuoi
  [326/379] OK 41_7.mp4 -> 80 frame, 9 chuoi
  [327/379] OK 41_8.mp4 -> 75 frame, 8 chuoi
  [328/379] OK 41_9.mp4 -> 79 frame, 8 chuoi
  [329/379] OK 42_1.mp4 -> 48 frame, 2 chuoi
  [330/379] OK 42_10.mp4 -> 69 frame, 6 chuoi
  [331/379] OK 42_11.mp4 -> 64 frame, 5 chuoi
  [332/379] OK 42_2.mp4 -> 54 frame, 3 chuoi
  [333/379] OK 42_3.mp4 -> 55 frame, 4 chuoi
  [334/379] OK 42_4.mp4 -> 83 frame, 9 chuoi
  [335/379] OK 42_5.mp4 -> 65 frame, 6 chuoi
  [336/379] OK 42_6.mp4 -> 61 frame, 5 chuoi
  [337/379] OK 42_7.mp4 -> 120 frame, 17 chuoi
  [338/379] OK 42_8.mp4 -> 133 frame, 19 chuoi
  [339/379] OK 42_9.mp4 -> 57 frame, 4 chuoi
  [340/379] OK 47_1.mp4 -> 162 frame, 25 chuoi
  [341/379] OK 47_2.mp4 -> 297 frame, 52 chuoi
  [342/379] OK 47_3.mp4 -> 125 frame, 18 chuoi
  [343/379] BO QUA 47_4.mp4 (chi co 39 frame co pose < 40)
  [344/379] OK 48_1.mp4 -> 42 frame, 1 chuoi
  [345/379] BO QUA 48_2.mp4 (chi co 37 frame co pose < 40)
  [346/379] OK 49_1.mp4 -> 65 frame, 6 chuoi
  [347/379] OK 49_2.mp4 -> 88 frame, 10 chuoi
  [348/379] OK 49_3.mp4 -> 83 frame, 9 chuoi
  [349/379] OK 49_4.mp4 -> 46 frame, 2 chuoi
  [350/379] OK 52_1.mp4 -> 207 frame, 34 chuoi
  [351/379] OK 52_2.mp4 -> 73 frame, 7 chuoi
  [352/379] OK 53_5.mp4 -> 380 frame, 69 chuoi
  [353/379] OK 54_2.mp4 -> 364 frame, 65 chuoi
  [354/379] OK 54_4.mp4 -> 316 frame, 56 chuoi
  [355/379] OK 69.mp4 -> 64 frame, 5 chuoi
  [356/379] OK 70.mp4 -> 80 frame, 9 chuoi
  [357/379] OK 72.mp4 -> 241 frame, 41 chuoi
  [358/379] OK 9_1.mp4 -> 136 frame, 20 chuoi
  [359/379] OK 9_10.mp4 -> 56 frame, 4 chuoi
  [360/379] BO QUA 9_11.mp4 (chi co 7 frame co pose < 40)
  [361/379] BO QUA 9_12.mp4 (chi co 12 frame co pose < 40)
  [362/379] BO QUA 9_13.mp4 (chi co 2 frame co pose < 40)
  [363/379] BO QUA 9_14.mp4 (chi co 1 frame co pose < 40)
  [364/379] BO QUA 9_15.mp4 (chi co 31 frame co pose < 40)
  [365/379] OK 9_18.MP4 -> 281 frame, 49 chuoi
  [366/379] OK 9_19.MP4 -> 216 frame, 36 chuoi
  [367/379] OK 9_2.mp4 -> 152 frame, 23 chuoi
  [368/379] OK 9_20.MP4 -> 235 frame, 40 chuoi
  [369/379] OK 9_21.MP4 -> 132 frame, 19 chuoi
  [370/379] OK 9_22.MP4 -> 139 frame, 20 chuoi
  [371/379] OK 9_23.MP4 -> 107 frame, 14 chuoi
  [372/379] OK 9_24.MP4 -> 272 frame, 47 chuoi
  [373/379] OK 9_3.mp4 -> 77 frame, 8 chuoi
  [374/379] OK 9_4.mp4 -> 147 frame, 22 chuoi
  [375/379] OK 9_5.mp4 -> 230 frame, 39 chuoi
  [376/379] OK 9_6.mp4 -> 180 frame, 29 chuoi
  [377/379] BO QUA 9_7.mp4 (chi co 0 frame co pose < 40)
  [378/379] BO QUA 9_8.mp4 (chi co 0 frame co pose < 40)
  [379/379] OK 9_9.mp4 -> 179 frame, 28 chuoi
  Da luu d:/Projects/CV/climb\project\train_climb_keypoints.npy shape=(5888, 40, 17, 2) (1088.9s)
=== Train/no_climb: 158 video ===
  [1/158] OK 10_10.mp4 -> 109 frame, 14 chuoi
  [2/158] OK 10_12.mp4 -> 102 frame, 13 chuoi
  [3/158] OK 10_13.mp4 -> 280 frame, 49 chuoi
  [4/158] OK 10_14.mp4 -> 144 frame, 21 chuoi
  [5/158] OK 10_15.mp4 -> 138 frame, 20 chuoi
  [6/158] OK 10_16.mp4 -> 124 frame, 17 chuoi
  [7/158] OK 10_18.mp4 -> 133 frame, 19 chuoi
  [8/158] OK 10_19.mp4 -> 160 frame, 25 chuoi
  [9/158] OK 10_20.mp4 -> 233 frame, 39 chuoi
  [10/158] OK 10_21.mp4 -> 237 frame, 40 chuoi
  [11/158] OK 10_22.mp4 -> 304 frame, 53 chuoi
  [12/158] OK 10_23.mp4 -> 285 frame, 50 chuoi
  [13/158] OK 10_25.mp4 -> 254 frame, 43 chuoi
  [14/158] OK 10_26.mp4 -> 257 frame, 44 chuoi
  [15/158] OK 10_27.mp4 -> 266 frame, 46 chuoi
  [16/158] OK 10_28.mp4 -> 253 frame, 43 chuoi
  [17/158] OK 10_29.mp4 -> 252 frame, 43 chuoi
  [18/158] OK 10_3.mp4 -> 107 frame, 14 chuoi
  [19/158] OK 10_31.mp4 -> 201 frame, 33 chuoi
  [20/158] OK 10_32.mp4 -> 237 frame, 40 chuoi
